Date,SSH
Dec-93,7109
Jan-94,7059
Feb-94,7109
Mar-94,6989
Apr-94,6939
May-94,6919
Jun-94,6949
Jul-94,6929
Aug-94,6959
Sep-94,6979
Oct-94,7039
Nov-94,7109
Dec-94,7229
Jan-95,7128.04
Feb-95,7092.510204
Mar-95,7065.313725
Apr-95,6987.27451
May-95,6966.962264
Jun-95,6986.018868
Jul-95,6996.584906
Aug-95,7009.226415
Sep-95,7004.320755
Oct-95,7026.923077
Nov-95,7104.333333
Dec-95,7120.84
Jan-96,7169
Feb-96,7199
Mar-96,7065.313725
Apr-96,6987.27451
May-96,6989
Jun-96,6949
Jul-96,6969
Aug-96,6979
Sep-96,6989
Oct-96,7039
Nov-96,7029
Dec-96,7179
Jan-97,7159
Feb-97,7009
Mar-97,7089
Apr-97,6969
May-97,7029
Jun-97,7129
Jul-97,7069
Aug-97,7119
Sep-97,7139
Oct-97,7209
Nov-97,7309
Dec-97,7269
Jan-98,7399
Feb-98,7389
Mar-98,7079
Apr-98,6959
May-98,7009
Jun-98,6989
Jul-98,6999
Aug-98,6959
Sep-98,6949
Oct-98,6969
Nov-98,7199
Dec-98,7049
Jan-99,7089
Feb-99,7289
Mar-99,7159
Apr-99,6889
May-99,6899
Jun-99,6959
Jul-99,6969
Aug-99,7009
Sep-99,6899
Oct-99,6899
Nov-99,7109
Dec-99,7009
Jan-00,7069
Feb-00,7129
Mar-00,6979
Apr-00,6939
May-00,6979
Jun-00,6969
Jul-00,6969
Aug-00,6949
Sep-00,6959
Oct-00,6999
Nov-00,6939
Dec-00,6969
1-Jan,7019
1-Feb,6949
1-Mar,6949
1-Apr,6909
1-May,6879
1-Jun,6919
1-Jul,6919
1-Aug,6989
1-Sep,6949
1-Oct,6949
1-Nov,7139
1-Dec,7129
1-Jan,7089
1-Feb,6999
1-Mar,6959
1-Apr,6899
1-May,6879
1-Jun,6929
1-Jul,6949
1-Aug,6939
1-Sep,6969
1-Oct,6869
1-Nov,7069
1-Dec,7259
1-Jan,7139
1-Feb,6969
1-Mar,7079
1-Apr,7069
1-May,6939
1-Jun,6919
1-Jul,6949
1-Aug,6999
1-Sep,6949
1-Oct,7069
1-Nov,7039
1-Dec,7209
1-Jan,7149
1-Feb,7099
1-Mar,6989
1-Apr,6939
1-May,6979
1-Jun,6979
1-Jul,6979
1-Aug,6999
1-Sep,7019
1-Oct,7029
1-Nov,6989
1-Dec,7059
1-Jan,7129
1-Feb,7009
1-Mar,7079
1-Apr,7049
1-May,7069
1-Jun,6989
1-Jul,6999
1-Aug,6979
1-Sep,6919
1-Oct,7039
1-Nov,7104.333333
1-Dec,7129
1-Jan,7259
1-Feb,7092.510204
1-Mar,7169
1-Apr,7079
1-May,6939
1-Jun,6969
1-Jul,6989
1-Aug,6969
1-Sep,6949
1-Oct,6909
1-Nov,7169
1-Dec,7119
1-Jan,7009
1-Feb,7089
1-Mar,6989
1-Apr,6969
1-May,6919
1-Jun,6999
1-Jul,7049
1-Aug,7029
1-Sep,6979
1-Oct,7049
1-Nov,6999
1-Dec,7129
1-Jan,7159
1-Feb,7039
1-Mar,6949
1-Apr,6909
1-May,6919
1-Jun,6969
1-Jul,7029
1-Aug,7079
1-Sep,6969
1-Oct,6949
1-Nov,7059
1-Dec,7039
1-Jan,6949
1-Feb,7009
1-Mar,7009
1-Apr,6869
1-May,6939
1-Jun,7019
1-Jul,6979
1-Aug,7019
1-Sep,7019
1-Oct,7029
1-Nov,7179
1-Dec,7079
1-Jan,7359
1-Feb,7199
1-Mar,7119
1-Apr,7119
1-May,6979
1-Jun,6979
1-Jul,6949
1-Aug,6989
1-Sep,7009
1-Oct,7039
1-Nov,7069
1-Dec,7279
1-Jan,7059
1-Feb,7049
1-Mar,7239
1-Apr,7039
1-May,7009
1-Jun,7019
1-Jul,7039
1-Aug,7019
1-Sep,7039
1-Oct,7039
1-Nov,7109
1-Dec,6929
1-Jan,7089
1-Feb,6989
1-Mar,7129
1-Apr,7059
1-May,6909
1-Jun,7009
1-Jul,7009
1-Aug,6999
1-Sep,6929
1-Oct,7019
1-Nov,7139
1-Dec,7249
1-Jan,6949
1-Feb,6909
1-Mar,6909
1-Apr,6889
1-May,6899
1-Jun,6959
1-Jul,6919
1-Aug,6999
1-Sep,7059
1-Oct,6909
1-Nov,6929
1-Dec,6859
1-Jan,6939
1-Feb,6999
1-Mar,7009
1-Apr,6989
1-May,6989
1-Jun,6939
1-Jul,6989
1-Aug,6969
1-Sep,7029
1-Oct,7159
1-Nov,7069
1-Dec,7219
1-Jan,7049
1-Feb,7059
1-Mar,7009
1-Apr,6959
1-May,6959
1-Jun,6949
1-Jul,7009
1-Aug,6999
1-Sep,7029
1-Oct,7069
1-Nov,7019
1-Dec,7269
1-Jan,7199
1-Feb,7089
1-Mar,7209
1-Apr,6939
1-May,6899
1-Jun,6939
1-Jul,6929
1-Aug,6929
1-Sep,6929
1-Oct,7149
1-Nov,7259
1-Dec,7039
1-Jan,7109
1-Feb,7159
1-Mar,7099
1-Apr,7079
1-May,6949
1-Jun,6989
1-Jul,6939
1-Aug,6979
1-Sep,6969
1-Oct,6919
1-Nov,7139
1-Dec,6879
1-Jan,7129
1-Feb,6909
1-Mar,7009
1-Apr,6959
1-May,6929
1-Jun,6949
1-Jul,6929
1-Aug,6969
1-Sep,6949
1-Oct,6979
1-Nov,6999
1-Dec,7139
1-Jan,7119
1-Feb,7009
1-Mar,6909
1-Apr,6949
1-May,6939
1-Jun,6879
1-Jul,6949
1-Aug,6939
1-Sep,6999
1-Oct,6899
1-Nov,6919
1-Dec,7109
1-Jan,7159
1-Feb,6909
1-Mar,6939
1-Apr,6869
1-May,6959
1-Jun,6949
1-Jul,6959
1-Aug,6949
1-Sep,6979
1-Oct,6929
1-Nov,7019
1-Dec,7029
1-Jan,7125
1-Feb,6965
1-Mar,6935
1-Apr,6845
1-May,6855
1-Jun,6965
1-Jul,6955
1-Aug,6955
1-Sep,6965
1-Oct,7055
1-Nov,7065
1-Dec,7125
1-Jan,7055
1-Feb,6835
1-Mar,6935
1-Apr,6925
1-May,6935
1-Jun,6985
1-Jul,6975
1-Aug,6975
1-Sep,6965
1-Oct,6935
1-Nov,6925
1-Dec,7065
