Date,SSH
Aug-84,6987
Sep-84,7093
Oct-84,7088
Nov-84,7049
Dec-84,6986
Jan-85,7055
Feb-85,6938
Mar-85,6981.333333
Apr-85,6981.121212
May-85,6985.916667
Jun-85,7020.569231
Jul-85,7042.515625
Aug-85,7064.460317
Sep-85,7091.569231
Oct-85,7111.181818
Nov-85,7116.424242
Dec-85,7089.166667
Jan-86,7073
Feb-86,6874
Mar-86,6908
Apr-86,6929
May-86,6930
Jun-86,6993
Jul-86,7043
Aug-86,7051
Sep-86,7069
Oct-86,7127
Nov-86,7053
Dec-86,7094
Jan-87,6955
Feb-87,6999
Mar-87,6902
Apr-87,6945
May-87,7015
Jun-87,6996
Jul-87,7058
Aug-87,7105
Sep-87,7141
Oct-87,7060
Nov-87,7148
Dec-87,7110
Jan-88,7080
Feb-88,7107
Mar-88,7059
Apr-88,6936
May-88,6979
Jun-88,7042
Jul-88,7036
Aug-88,7070
Sep-88,7112
Oct-88,7049
Nov-88,7158
Dec-88,7165
Jan-89,7057
Feb-89,7107
Mar-89,7048
Apr-89,6958
May-89,6980
Jun-89,7004
Jul-89,7025
Aug-89,7120
Sep-89,7106
Oct-89,7107
Nov-89,7111
Dec-89,7160
Jan-90,7070
Feb-90,7137
Mar-90,7069
Apr-90,6997
May-90,6930
Jun-90,7000
Jul-90,7014
Aug-90,7059
Sep-90,7122
Oct-90,7094
Nov-90,7126
Dec-90,7072
Jan-91,6944
Feb-91,6857
Mar-91,6902
Apr-91,6946
May-91,6934
Jun-91,7010
Jul-91,6979
Aug-91,7021
Sep-91,7101
Oct-91,7063
Nov-91,7063
Dec-91,7056
Jan-92,6976
Feb-92,7001
Mar-92,7001
Apr-92,6979
May-92,6941
Jun-92,7024
Jul-92,7049
Aug-92,7058
Sep-92,7015
Oct-92,7115
Nov-92,7153
Dec-92,7062
Jan-93,7117
Feb-93,7053
Mar-93,6919
Apr-93,6949
May-93,6986
Jun-93,7033
Jul-93,7057
Aug-93,7077
Sep-93,7117
Oct-93,7107
Nov-93,7010
Dec-93,7134
Jan-94,7096
Feb-94,6869
Mar-94,7022
Apr-94,6977
May-94,7036
Jun-94,7031
Jul-94,7013
Aug-94,7103
Sep-94,7157
Oct-94,7087
Nov-94,7125
Dec-94,7128
Jan-95,7066
Feb-95,7127
Mar-95,7074
Apr-95,7000
May-95,6996
Jun-95,7034
Jul-95,7039
Aug-95,7069
Sep-95,7140
Oct-95,7083
Nov-95,7115
Dec-95,7035
Jan-96,6914
Feb-96,6929
Mar-96,6857
Apr-96,6928
May-96,7009
Jun-96,7009
Jul-96,7022
Aug-96,7031
Sep-96,7059
Oct-96,7054
Nov-96,7116.424242
Dec-96,7069
Jan-97,7018
Feb-97,7035
Mar-97,7004
Apr-97,6992
May-97,6985.916667
Jun-97,7076
Jul-97,6982
Aug-97,7053
Sep-97,7095
Oct-97,7217
Nov-97,7015
Dec-97,7085
Jan-98,7108
Feb-98,7118
Mar-98,6932
Apr-98,7072
May-98,7001
Jun-98,7026
Jul-98,7042.515625
Aug-98,7091
Sep-98,7156
Oct-98,7198
Nov-98,7014
Dec-98,7088
Jan-99,7050
Feb-99,7221
Mar-99,7011
Apr-99,6964
May-99,7000
Jun-99,7009
Jul-99,7053
Aug-99,7111
Sep-99,7147
Oct-99,7120
Nov-99,7155
Dec-99,7162
Jan-00,7059
Feb-00,7081
Mar-00,7025
Apr-00,7028
May-00,7009
Jun-00,6992
Jul-00,7102
Aug-00,7039
Sep-00,7082
Oct-00,7054
Nov-00,7071
Dec-00,7174
1-Jan,7097
1-Feb,7007
1-Mar,7092
1-Apr,7049
1-May,6996
1-Jun,7032
1-Jul,7064
1-Aug,7099
1-Sep,7227
1-Oct,7176
1-Nov,7194
1-Dec,7130
2-Jan,7099
2-Feb,7185
2-Mar,7028
2-Apr,7018
2-May,7014
2-Jun,7070
2-Jul,7066
2-Aug,7116
2-Sep,7136
2-Oct,7199
2-Nov,7091
2-Dec,7029
3-Jan,7225
3-Feb,7011
3-Mar,7012
3-Apr,7045
3-May,7028
3-Jun,7112
3-Jul,7112
3-Aug,7143
3-Sep,7134
3-Oct,7207
3-Nov,7088
3-Dec,7176
4-Jan,7127
4-Feb,7157
4-Mar,7001
4-Apr,6996
4-May,7038
4-Jun,7085
4-Jul,7101
4-Aug,7153
4-Sep,7161
4-Oct,7102
4-Nov,7181
4-Dec,7155
5-Jan,7158
5-Feb,7027
5-Mar,7001
5-Apr,7014
5-May,7027
5-Jun,7035
5-Jul,7132
5-Aug,7143
5-Sep,7144
5-Oct,7116
5-Nov,7193
5-Dec,7119
6-Jan,6975
6-Feb,7129
6-Mar,6968
6-Apr,7044
6-May,7042
6-Jun,7012
6-Jul,7053
6-Aug,7177
6-Sep,7176
6-Oct,7220
6-Nov,7262
6-Dec,7071
7-Jan,7196
7-Feb,7086
7-Mar,7109
7-Apr,6984
7-May,7087
7-Jun,7120
7-Jul,7140
7-Aug,7131
7-Sep,7201
7-Oct,7128
7-Nov,7213
7-Dec,7121
8-Jan,7069
8-Feb,7081
8-Mar,7203
8-Apr,7044
8-May,7033
8-Jun,7074
8-Jul,7114
8-Aug,7104
8-Sep,7074
8-Oct,7203
8-Nov,7115
8-Dec,7037
9-Jan,7034
9-Feb,7032
9-Mar,7049
9-Apr,6995
9-May,7015
9-Jun,7083
9-Jul,7157
9-Aug,7064.460317
9-Sep,7155
9-Oct,7135
9-Nov,7163
9-Dec,7181
10-Jan,7041
10-Feb,7114
10-Mar,7081
10-Apr,6998
10-May,7038
10-Jun,7108
10-Jul,7072
10-Aug,7163
10-Sep,7147
10-Oct,7220
10-Nov,7148
10-Dec,7166
11-Jan,7093
11-Feb,7011
11-Mar,6943
11-Apr,6981.121212
11-May,7046
11-Jun,7103
11-Jul,7132
11-Aug,7153
11-Sep,7141
11-Oct,7140
11-Nov,7154
11-Dec,7252
12-Jan,7121
12-Feb,6952
12-Mar,6989
12-Apr,7076
12-May,7053
12-Jun,7057
12-Jul,7106
12-Aug,7134
12-Sep,7185
12-Oct,7204
12-Nov,7215
12-Dec,7111
13-Jan,7091
13-Feb,7058
13-Mar,6999
13-Apr,7058
13-May,7073
13-Jun,7035
13-Jul,7080
13-Aug,7132
13-Sep,7162
13-Oct,7177
13-Nov,7236
13-Dec,7145
14-Jan,7012
14-Feb,7011
14-Mar,7055
14-Apr,7104
14-May,7059
14-Jun,7101
14-Jul,7155
14-Aug,7163
14-Sep,7176
14-Oct,7206
14-Nov,7143
14-Dec,7221
15-Jan,7188
15-Feb,7037
15-Mar,7031
15-Apr,7029
15-May,7076
15-Jun,7052
15-Jul,7140
15-Aug,7139
15-Sep,7183
15-Oct,7186
15-Nov,7307
15-Dec,7129
16-Jan,7049
16-Feb,7011.686567
16-Mar,7038
16-Apr,7155
16-May,7129
16-Jun,7115
16-Jul,7042.515625
16-Aug,7064.460317
16-Sep,7091.569231
16-Oct,7111.181818
16-Nov,7154
16-Dec,7172
17-Jan,7135
17-Feb,7040
17-Mar,7050
17-Apr,7081
17-May,7094
17-Jun,7141
17-Jul,7136
17-Aug,7148
17-Sep,7169
17-Oct,7223
17-Nov,7116.424242
17-Dec,7089.166667
18-Jan,7042.716418
18-Feb,7066
18-Mar,6981.333333
18-Apr,7077
18-May,6985.916667
18-Jun,7088
18-Jul,7097
18-Aug,7132
18-Sep,7164
18-Oct,7238
18-Nov,7074
18-Dec,7132
19-Jan,7200
19-Feb,7060
19-Mar,7154
19-Apr,7023
19-May,7094
19-Jun,7076
19-Jul,7150
19-Aug,7131
19-Sep,7191
19-Oct,7265
19-Nov,7199
19-Dec,7246
20-Jan,7218
20-Feb,7223
20-Mar,7064
20-Apr,7074
20-May,6985.916667
20-Jun,7125
20-Jul,7142
20-Aug,7168
20-Sep,7175
20-Oct,7172
20-Nov,7182
20-Dec,7089.166667
21-Jan,7184
21-Feb,7049
21-Mar,7066
21-Apr,7127
21-May,7093
21-Jun,7106
21-Jul,7125
21-Aug,7165
21-Sep,7091.569231
21-Oct,7215
21-Nov,7279
21-Dec,7151
22-Jan,7236
22-Feb,7196
22-Mar,6988
22-Apr,7084
22-May,7087
22-Jun,7146
22-Jul,7116
22-Aug,7135
22-Sep,7189
22-Oct,7111.181818
22-Nov,7194
22-Dec,7216
23-Jan,7211
23-Feb,7148
23-Mar,7167
23-Apr,7088
23-May,6985.916667
23-Jun,7147
23-Jul,7187
23-Aug,7203
23-Sep,7242
23-Oct,7277
